,product,measure,month,cost
243,Колбаса полукопченая,1 кг,апрель,121.54
244,"Сосиски, сардельки",1 кг,апрель,104.85
245,Рыба свежая и охлажденная,1 кг,апрель,59.72
246,Рыба замороженная неразделанная,1 кг,апрель,64.67
247,Сельдь соленая,1 кг,апрель,71.75
248,"Кефир, айран",1 литр,апрель,15.32
249,Сметана,1 литр,апрель,74.22
250,Сливки,1 литр,апрель,39.21
251,Творог жирный,1 кг,апрель,44.38
252,Творог нежирный,1 кг,апрель,22.43
253,Яйца куриные,10 штук,апрель,25.59
254,Масло сливочное,1 кг,апрель,137.40
255,Хлопковое масло,1 кг,апрель,47.86
256,Подсолнечное масло,1 кг,апрель,57.03
257,Яблоки,1 кг,апрель,26.04
258,Aбрикосы,1 кг,апрель,0.00
259,"Клубника, малина",1 кг,апрель,0.00
260,Вишня,1 кг,апрель,0.00
261,Виноград свежий,1 кг,апрель,100.00
262,Aпельсины,1 кг,апрель,71.21
263,Лимоны,1 кг,апрель,70.80
264,Дыни,1 кг,апрель,0.00
265,Aрбузы,1 кг,апрель,0.00
266,Виноград сушеный,1 кг,апрель,45.49
267,Яблоки сушеные,1 кг,апрель,15.66
268,Курага,1 кг,апрель,53.94
269,Орехи грецкие,1 кг,апрель,48.93
270,Капуста свежая,1 кг,апрель,15.20
271,Лук репчатый,1 кг,апрель,11.95
272,Свекла,1 кг,апрель,8.38
273,Морковь,1 кг,апрель,9.41
274,Огурцы свежие,1 кг,апрель,40.18
275,Тыква,1 кг,апрель,7.66
276,Лук зеленый,1 кг,апрель,18.25
277,Помидоры свежие,1 кг,апрель,61.35
278,"Редиска, редька",1 кг,апрель,8.31
279,Баклажаны,1 кг,апрель,0.00
280,Горох,1 кг,апрель,20.27
281,Чеснок,1 кг,апрель,35.72
282,Томатная паста,1 кг,апрель,42.62
283,Картофель,1 кг,апрель,10.90
284,Сахар-песок,1 кг,апрель,23.04
285,Мед пчелиный натуральный,1 кг,апрель,94.43
286,Соль,1 кг,апрель,4.68
287,Майонез,1 кг,апрель,79.02
288,Дрожжи,50 гр.,апрель,8.10
289,Кофе натуральный растворимый,100 гр.,апрель,62.76
