product,measure,year,month,cost
Баранина,1 кг,2003,май,107.69
Конина,1 кг,2003,май,87.62
Колбаса вареная,1 кг,2003,май,107.14
Колбаса полукопченая,1 кг,2003,май,121.49
"Сосиски, сардельки",1 кг,2003,май,104.77
Рыба свежая и охлажденная,1 кг,2003,май,57.29
Рыба замороженная неразделанная,1 кг,2003,май,64.67
Сельдь соленая,1 кг,2003,май,71.78
"Кефир, айран",1 литр,2003,май,15.21
Сметана,1 литр,2003,май,69.81
Сливки,1 литр,2003,май,38.96
Творог жирный,1 кг,2003,май,44.12
Творог нежирный,1 кг,2003,май,21.93
Яйца куриные,10 штук,2003,май,25.06
Масло сливочное,1 кг,2003,май,142.36
Хлопковое масло,1 кг,2003,май,48.41
Подсолнечное масло,1 кг,2003,май,57.01
Яблоки,1 кг,2003,май,29.90
Aбрикосы,1 кг,2003,май,0.00
"Клубника, малина",1 кг,2003,май,64.81
Вишня,1 кг,2003,май,30.00
Виноград свежий,1 кг,2003,май,136.67
Aпельсины,1 кг,2003,май,71.72
Лимоны,1 кг,2003,май,80.03
Дыни,1 кг,2003,май,0.00
Aрбузы,1 кг,2003,май,0.00
Виноград сушеный,1 кг,2003,май,45.48
Яблоки сушеные,1 кг,2003,май,15.64
Курага,1 кг,2003,май,54.06
Орехи грецкие,1 кг,2003,май,48.86
Капуста свежая,1 кг,2003,май,18.86
Лук репчатый,1 кг,2003,май,23.91
Свекла,1 кг,2003,май,13.13
Морковь,1 кг,2003,май,12.69
Огурцы свежие,1 кг,2003,май,35.27
Тыква,1 кг,2003,май,7.46
Лук зеленый,1 кг,2003,май,17.41
Помидоры свежие,1 кг,2003,май,43.59
"Редиска, редька",1 кг,2003,май,10.35
Баклажаны,1 кг,2003,май,0.00
Горох,1 кг,2003,май,19.23
Чеснок,1 кг,2003,май,37.50
Томатная паста,1 кг,2003,май,42.63
Картофель,1 кг,2003,май,12.69
Сахар-песок,1 кг,2003,май,23.80
Мед пчелиный натуральный,1 кг,2003,май,94.56
Соль,1 кг,2003,май,4.68
Майонез,1 кг,2003,май,78.24
Дрожжи,50 гр.,2003,май,8.10
Кофе натуральный растворимый,100 гр.,2003,май,61.88
Чай черный байховый,100 гр.,2003,май,19.58
Вода минеральная,"0,5 л.",2003,май,5.10
Водка крепостью 40 градусов,"0,5 л.",2003,май,33.90
Коньяк отечественный,"0,5 л.",2003,май,116.30
Вино игристое отечественное,"0,7 л.",2003,май,91.60
Сигареты с фильтром,1 пачка,2003,май,21.91
Цемент,50 кг,2003,май,89.67
"Электроэнергия, основной тариф",1 кВт. час,2003,май,0.62
Природный газ,за 1 человека в месяц,2003,май,35.79
Сжиженный газ ,1 кг,2003,май,15.03
Уголь,1 тонна,2003,май,1 011.06
Бензин автомобильной марки А-92,1 литр,2003,май,14.20
Бензин автомобильной марки А-80,1 литр,2003,май,11.18
Дизельное топливо,1 литр,2003,май,9.85
Рис среднезерный,1 кг,2003,июнь,23.23
Рис длиннозерный,1 кг,2003,июнь,24.99
Мука пшеничная высшего сорта,1 кг,2003,июнь,12.98
Мука пшеничная первого сорта,1 кг,2003,июнь,9.95
Крупа манная,1 кг,2003,июнь,19.84
Пшено,1 кг,2003,июнь,18.11
Хлеб из пшеничной муки 1 сорта,1 кг,2003,июнь,12.6
Лепешка,1 кг,2003,июнь,13.61
Макаронные изделия,1 кг,2003,июнь,18.93
"Вермишель, лапша",1 кг,2003,июнь,14.85
Говядина,1 кг,2003,июнь,86.75
Свинина,1 кг,2003,июнь,92.19
Баранина,1 кг,2003,июнь,109.04
Конина,1 кг,2003,июнь,86.5
Колбаса вареная,1 кг,2003,июнь,106.91
Колбаса полукопченая,1 кг,2003,июнь,121.45
"Сосиски, сардельки",1 кг,2003,июнь,104.72
